"Year","Sport","N","Players"
1985,"Baseball",0,NA
1985,"Basketball",3,"John Stockton, Kareem Abdul-Jabbar, Michael Jordan"
1985,"Chess",1,"Garry Kasparov"
1985,"Cricket",0,NA
1985,"Football",2,"Jerry Rice, Lawrence Taylor"
1985,"Golf",1,"Jack Nicklaus"
1985,"Hockey",2,"Mark Messier, Wayne Gretzky"
1985,"Soccer",1,"Diego Maradona"
1985,"Swimming",1,"Matt Biondi"
1985,"Tennis",0,NA
1986,"Baseball",1,"Barry Bonds"
1986,"Basketball",3,"John Stockton, Kareem Abdul-Jabbar, Michael Jordan"
1986,"Chess",1,"Garry Kasparov"
1986,"Cricket",0,NA
1986,"Football",2,"Jerry Rice, Lawrence Taylor"
1986,"Golf",1,"Jack Nicklaus"
1986,"Hockey",2,"Mark Messier, Wayne Gretzky"
1986,"Soccer",1,"Diego Maradona"
1986,"Swimming",1,"Matt Biondi"
1986,"Tennis",0,NA
1987,"Baseball",1,"Barry Bonds"
1987,"Basketball",3,"John Stockton, Kareem Abdul-Jabbar, Michael Jordan"
1987,"Chess",1,"Garry Kasparov"
1987,"Cricket",0,NA
1987,"Football",2,"Jerry Rice, Lawrence Taylor"
1987,"Golf",0,NA
1987,"Hockey",2,"Mark Messier, Wayne Gretzky"
1987,"Soccer",1,"Diego Maradona"
1987,"Swimming",1,"Matt Biondi"
1987,"Tennis",0,NA
1988,"Baseball",1,"Barry Bonds"
1988,"Basketball",3,"John Stockton, Kareem Abdul-Jabbar, Michael Jordan"
1988,"Chess",1,"Garry Kasparov"
1988,"Cricket",0,NA
1988,"Football",2,"Jerry Rice, Lawrence Taylor"
1988,"Golf",0,NA
1988,"Hockey",2,"Mark Messier, Wayne Gretzky"
1988,"Soccer",1,"Diego Maradona"
1988,"Swimming",1,"Matt Biondi"
1988,"Tennis",1,"Pete Sampras"
1989,"Baseball",1,"Barry Bonds"
1989,"Basketball",3,"John Stockton, Kareem Abdul-Jabbar, Michael Jordan"
1989,"Chess",1,"Garry Kasparov"
1989,"Cricket",0,NA
1989,"Football",2,"Jerry Rice, Lawrence Taylor"
1989,"Golf",0,NA
1989,"Hockey",2,"Mark Messier, Wayne Gretzky"
1989,"Soccer",1,"Diego Maradona"
1989,"Swimming",1,"Matt Biondi"
1989,"Tennis",1,"Pete Sampras"
1990,"Baseball",1,"Barry Bonds"
1990,"Basketball",2,"John Stockton, Michael Jordan"
1990,"Chess",1,"Garry Kasparov"
1990,"Cricket",0,NA
1990,"Football",2,"Jerry Rice, Lawrence Taylor"
1990,"Golf",0,NA
1990,"Hockey",2,"Mark Messier, Wayne Gretzky"
1990,"Soccer",1,"Diego Maradona"
1990,"Swimming",2,"Alexander Popov, Matt Biondi"
1990,"Tennis",1,"Pete Sampras"
1991,"Baseball",1,"Barry Bonds"
1991,"Basketball",2,"John Stockton, Michael Jordan"
1991,"Chess",1,"Garry Kasparov"
1991,"Cricket",0,NA
1991,"Football",3,"Brett Favre, Jerry Rice, Lawrence Taylor"
1991,"Golf",0,NA
1991,"Hockey",2,"Mark Messier, Wayne Gretzky"
1991,"Soccer",1,"Diego Maradona"
1991,"Swimming",2,"Alexander Popov, Matt Biondi"
1991,"Tennis",1,"Pete Sampras"
1992,"Baseball",1,"Barry Bonds"
1992,"Basketball",2,"John Stockton, Michael Jordan"
1992,"Chess",2,"Bobby Fischer, Garry Kasparov"
1992,"Cricket",0,NA
1992,"Football",3,"Brett Favre, Jerry Rice, Lawrence Taylor"
1992,"Golf",0,NA
1992,"Hockey",2,"Mark Messier, Wayne Gretzky"
1992,"Soccer",1,"Diego Maradona"
1992,"Swimming",2,"Alexander Popov, Matt Biondi"
1992,"Tennis",1,"Pete Sampras"
1993,"Baseball",1,"Barry Bonds"
1993,"Basketball",2,"John Stockton, Michael Jordan"
1993,"Chess",1,"Garry Kasparov"
1993,"Cricket",0,NA
1993,"Football",3,"Brett Favre, Jerry Rice, Lawrence Taylor"
1993,"Golf",0,NA
1993,"Hockey",2,"Mark Messier, Wayne Gretzky"
1993,"Soccer",1,"Diego Maradona"
1993,"Swimming",2,"Alexander Popov, Pieter Van Den Hoogenband"
1993,"Tennis",1,"Pete Sampras"
1994,"Baseball",1,"Barry Bonds"
1994,"Basketball",1,"John Stockton"
1994,"Chess",1,"Garry Kasparov"
1994,"Cricket",0,NA
1994,"Football",2,"Brett Favre, Jerry Rice"
1994,"Golf",0,NA
1994,"Hockey",2,"Mark Messier, Wayne Gretzky"
1994,"Soccer",1,"Diego Maradona"
1994,"Swimming",2,"Alexander Popov, Pieter Van Den Hoogenband"
1994,"Tennis",1,"Pete Sampras"
1995,"Baseball",1,"Barry Bonds"
1995,"Basketball",2,"John Stockton, Michael Jordan"
1995,"Chess",1,"Garry Kasparov"
1995,"Cricket",0,NA
1995,"Football",2,"Brett Favre, Jerry Rice"
1995,"Golf",0,NA
1995,"Hockey",2,"Mark Messier, Wayne Gretzky"
1995,"Soccer",1,"Diego Maradona"
1995,"Swimming",2,"Alexander Popov, Pieter Van Den Hoogenband"
1995,"Tennis",1,"Pete Sampras"
1996,"Baseball",1,"Barry Bonds"
1996,"Basketball",2,"John Stockton, Michael Jordan"
1996,"Chess",1,"Garry Kasparov"
1996,"Cricket",0,NA
1996,"Football",2,"Brett Favre, Jerry Rice"
1996,"Golf",0,NA
1996,"Hockey",2,"Mark Messier, Wayne Gretzky"
1996,"Soccer",1,"Diego Maradona"
1996,"Swimming",2,"Alexander Popov, Pieter Van Den Hoogenband"
1996,"Tennis",1,"Pete Sampras"
1997,"Baseball",1,"Barry Bonds"
1997,"Basketball",2,"John Stockton, Michael Jordan"
1997,"Chess",1,"Garry Kasparov"
1997,"Cricket",0,NA
1997,"Football",2,"Brett Favre, Jerry Rice"
1997,"Golf",1,"Tiger Woods"
1997,"Hockey",2,"Mark Messier, Wayne Gretzky"
1997,"Soccer",1,"Diego Maradona"
1997,"Swimming",2,"Alexander Popov, Pieter Van Den Hoogenband"
1997,"Tennis",1,"Pete Sampras"
1998,"Baseball",1,"Barry Bonds"
1998,"Basketball",2,"John Stockton, Michael Jordan"
1998,"Chess",1,"Garry Kasparov"
1998,"Cricket",0,NA
1998,"Football",3,"Brett Favre, Jerry Rice, Peyton Manning"
1998,"Golf",1,"Tiger Woods"
1998,"Hockey",2,"Mark Messier, Wayne Gretzky"
1998,"Soccer",0,NA
1998,"Swimming",2,"Alexander Popov, Pieter Van Den Hoogenband"
1998,"Tennis",2,"Pete Sampras, Roger Federer"
1999,"Baseball",1,"Barry Bonds"
1999,"Basketball",1,"John Stockton"
1999,"Chess",1,"Garry Kasparov"
1999,"Cricket",0,NA
1999,"Football",3,"Brett Favre, Jerry Rice, Peyton Manning"
1999,"Golf",1,"Tiger Woods"
1999,"Hockey",2,"Mark Messier, Wayne Gretzky"
1999,"Soccer",0,NA
1999,"Swimming",2,"Alexander Popov, Pieter Van Den Hoogenband"
1999,"Tennis",2,"Pete Sampras, Roger Federer"
2000,"Baseball",1,"Barry Bonds"
2000,"Basketball",1,"John Stockton"
2000,"Chess",1,"Garry Kasparov"
2000,"Cricket",0,NA
2000,"Football",4,"Brett Favre, Jerry Rice, Peyton Manning, Tom Brady"
2000,"Golf",1,"Tiger Woods"
2000,"Hockey",1,"Mark Messier"
2000,"Soccer",0,NA
2000,"Swimming",3,"Alexander Popov, Michael Phelps, Pieter Van Den Hoogenband"
2000,"Tennis",2,"Pete Sampras, Roger Federer"
2001,"Baseball",1,"Barry Bonds"
2001,"Basketball",2,"John Stockton, Michael Jordan"
2001,"Chess",1,"Garry Kasparov"
2001,"Cricket",0,NA
2001,"Football",4,"Brett Favre, Jerry Rice, Peyton Manning, Tom Brady"
2001,"Golf",1,"Tiger Woods"
2001,"Hockey",1,"Mark Messier"
2001,"Soccer",0,NA
2001,"Swimming",3,"Alexander Popov, Michael Phelps, Pieter Van Den Hoogenband"
2001,"Tennis",3,"Pete Sampras, Rafael Nadal, Roger Federer"
2002,"Baseball",1,"Barry Bonds"
2002,"Basketball",2,"John Stockton, Michael Jordan"
2002,"Chess",1,"Garry Kasparov"
2002,"Cricket",0,NA
2002,"Football",4,"Brett Favre, Jerry Rice, Peyton Manning, Tom Brady"
2002,"Golf",1,"Tiger Woods"
2002,"Hockey",1,"Mark Messier"
2002,"Soccer",1,"Cristiano Ronaldo"
2002,"Swimming",4,"Alexander Popov, Eamon Sullivan, Michael Phelps, Pieter Van Den Hoogenband"
2002,"Tennis",3,"Pete Sampras, Rafael Nadal, Roger Federer"
2003,"Baseball",1,"Barry Bonds"
2003,"Basketball",3,"John Stockton, Lebron James, Michael Jordan"
2003,"Chess",1,"Garry Kasparov"
2003,"Cricket",0,NA
2003,"Football",4,"Brett Favre, Jerry Rice, Peyton Manning, Tom Brady"
2003,"Golf",1,"Tiger Woods"
2003,"Hockey",1,"Mark Messier"
2003,"Soccer",2,"Cristiano Ronaldo, Lionel Messi"
2003,"Swimming",4,"Alexander Popov, Eamon Sullivan, Michael Phelps, Pieter Van Den Hoogenband"
2003,"Tennis",3,"Novak Djokovic, Rafael Nadal, Roger Federer"
2004,"Baseball",1,"Barry Bonds"
2004,"Basketball",1,"Lebron James"
2004,"Chess",2,"Garry Kasparov, Magnus Carlson"
2004,"Cricket",0,NA
2004,"Football",4,"Brett Favre, Jerry Rice, Peyton Manning, Tom Brady"
2004,"Golf",1,"Tiger Woods"
2004,"Hockey",1,"Mark Messier"
2004,"Soccer",2,"Cristiano Ronaldo, Lionel Messi"
2004,"Swimming",5,"Alexander Popov, Cesar Cielo, Eamon Sullivan, Michael Phelps, Pieter Van Den Hoogenband"
2004,"Tennis",3,"Novak Djokovic, Rafael Nadal, Roger Federer"
2005,"Baseball",1,"Barry Bonds"
2005,"Basketball",1,"Lebron James"
2005,"Chess",2,"Garry Kasparov, Magnus Carlson"
2005,"Cricket",0,NA
2005,"Football",3,"Brett Favre, Peyton Manning, Tom Brady"
2005,"Golf",1,"Tiger Woods"
2005,"Hockey",0,NA
2005,"Soccer",2,"Cristiano Ronaldo, Lionel Messi"
2005,"Swimming",5,"Alexander Popov, Cesar Cielo, Eamon Sullivan, Michael Phelps, Pieter Van Den Hoogenband"
2005,"Tennis",3,"Novak Djokovic, Rafael Nadal, Roger Federer"
2006,"Baseball",1,"Barry Bonds"
2006,"Basketball",1,"Lebron James"
2006,"Chess",1,"Magnus Carlson"
2006,"Cricket",0,NA
2006,"Football",3,"Brett Favre, Peyton Manning, Tom Brady"
2006,"Golf",1,"Tiger Woods"
2006,"Hockey",0,NA
2006,"Soccer",2,"Cristiano Ronaldo, Lionel Messi"
2006,"Swimming",4,"Cesar Cielo, Eamon Sullivan, Michael Phelps, Pieter Van Den Hoogenband"
2006,"Tennis",3,"Novak Djokovic, Rafael Nadal, Roger Federer"
2007,"Baseball",1,"Barry Bonds"
2007,"Basketball",1,"Lebron James"
2007,"Chess",1,"Magnus Carlson"
2007,"Cricket",0,NA
2007,"Football",3,"Brett Favre, Peyton Manning, Tom Brady"
2007,"Golf",1,"Tiger Woods"
2007,"Hockey",0,NA
2007,"Soccer",2,"Cristiano Ronaldo, Lionel Messi"
2007,"Swimming",4,"Cesar Cielo, Eamon Sullivan, Michael Phelps, Pieter Van Den Hoogenband"
2007,"Tennis",3,"Novak Djokovic, Rafael Nadal, Roger Federer"
2008,"Baseball",0,NA
2008,"Basketball",1,"Lebron James"
2008,"Chess",1,"Magnus Carlson"
2008,"Cricket",0,NA
2008,"Football",3,"Brett Favre, Peyton Manning, Tom Brady"
2008,"Golf",1,"Tiger Woods"
2008,"Hockey",0,NA
2008,"Soccer",2,"Cristiano Ronaldo, Lionel Messi"
2008,"Swimming",4,"Cesar Cielo, Eamon Sullivan, Michael Phelps, Pieter Van Den Hoogenband"
2008,"Tennis",3,"Novak Djokovic, Rafael Nadal, Roger Federer"
2009,"Baseball",0,NA
2009,"Basketball",1,"Lebron James"
2009,"Chess",1,"Magnus Carlson"
2009,"Cricket",0,NA
2009,"Football",3,"Brett Favre, Peyton Manning, Tom Brady"
2009,"Golf",1,"Tiger Woods"
2009,"Hockey",0,NA
2009,"Soccer",2,"Cristiano Ronaldo, Lionel Messi"
2009,"Swimming",2,"Cesar Cielo, Michael Phelps"
2009,"Tennis",3,"Novak Djokovic, Rafael Nadal, Roger Federer"
2010,"Baseball",0,NA
2010,"Basketball",1,"Lebron James"
2010,"Chess",1,"Magnus Carlson"
2010,"Cricket",0,NA
2010,"Football",3,"Brett Favre, Peyton Manning, Tom Brady"
2010,"Golf",1,"Tiger Woods"
2010,"Hockey",0,NA
2010,"Soccer",2,"Cristiano Ronaldo, Lionel Messi"
2010,"Swimming",2,"Cesar Cielo, Michael Phelps"
2010,"Tennis",3,"Novak Djokovic, Rafael Nadal, Roger Federer"
2011,"Baseball",0,NA
2011,"Basketball",1,"Lebron James"
2011,"Chess",1,"Magnus Carlson"
2011,"Cricket",0,NA
2011,"Football",2,"Peyton Manning, Tom Brady"
2011,"Golf",1,"Tiger Woods"
2011,"Hockey",0,NA
2011,"Soccer",2,"Cristiano Ronaldo, Lionel Messi"
2011,"Swimming",2,"Cesar Cielo, Michael Phelps"
2011,"Tennis",3,"Novak Djokovic, Rafael Nadal, Roger Federer"
2012,"Baseball",0,NA
2012,"Basketball",1,"Lebron James"
2012,"Chess",1,"Magnus Carlson"
2012,"Cricket",0,NA
2012,"Football",2,"Peyton Manning, Tom Brady"
2012,"Golf",1,"Tiger Woods"
2012,"Hockey",0,NA
2012,"Soccer",2,"Cristiano Ronaldo, Lionel Messi"
2012,"Swimming",2,"Cesar Cielo, Michael Phelps"
2012,"Tennis",3,"Novak Djokovic, Rafael Nadal, Roger Federer"
2013,"Baseball",0,NA
2013,"Basketball",1,"Lebron James"
2013,"Chess",1,"Magnus Carlson"
2013,"Cricket",0,NA
2013,"Football",2,"Peyton Manning, Tom Brady"
2013,"Golf",1,"Tiger Woods"
2013,"Hockey",0,NA
2013,"Soccer",2,"Cristiano Ronaldo, Lionel Messi"
2013,"Swimming",2,"Cesar Cielo, Michael Phelps"
2013,"Tennis",3,"Novak Djokovic, Rafael Nadal, Roger Federer"
2014,"Baseball",0,NA
2014,"Basketball",1,"Lebron James"
2014,"Chess",1,"Magnus Carlson"
2014,"Cricket",0,NA
2014,"Football",2,"Peyton Manning, Tom Brady"
2014,"Golf",1,"Tiger Woods"
2014,"Hockey",0,NA
2014,"Soccer",2,"Cristiano Ronaldo, Lionel Messi"
2014,"Swimming",2,"Cesar Cielo, Michael Phelps"
2014,"Tennis",3,"Novak Djokovic, Rafael Nadal, Roger Federer"
2015,"Baseball",0,NA
2015,"Basketball",1,"Lebron James"
2015,"Chess",1,"Magnus Carlson"
2015,"Cricket",0,NA
2015,"Football",2,"Peyton Manning, Tom Brady"
2015,"Golf",1,"Tiger Woods"
2015,"Hockey",0,NA
2015,"Soccer",2,"Cristiano Ronaldo, Lionel Messi"
2015,"Swimming",2,"Cesar Cielo, Michael Phelps"
2015,"Tennis",3,"Novak Djokovic, Rafael Nadal, Roger Federer"
2016,"Baseball",0,NA
2016,"Basketball",1,"Lebron James"
2016,"Chess",1,"Magnus Carlson"
2016,"Cricket",0,NA
2016,"Football",1,"Tom Brady"
2016,"Golf",1,"Tiger Woods"
2016,"Hockey",0,NA
2016,"Soccer",2,"Cristiano Ronaldo, Lionel Messi"
2016,"Swimming",2,"Cesar Cielo, Michael Phelps"
2016,"Tennis",3,"Novak Djokovic, Rafael Nadal, Roger Federer"
2017,"Baseball",0,NA
2017,"Basketball",1,"Lebron James"
2017,"Chess",1,"Magnus Carlson"
2017,"Cricket",0,NA
2017,"Football",1,"Tom Brady"
2017,"Golf",1,"Tiger Woods"
2017,"Hockey",0,NA
2017,"Soccer",2,"Cristiano Ronaldo, Lionel Messi"
2017,"Swimming",1,"Cesar Cielo"
2017,"Tennis",3,"Novak Djokovic, Rafael Nadal, Roger Federer"
2018,"Baseball",0,NA
2018,"Basketball",1,"Lebron James"
2018,"Chess",1,"Magnus Carlson"
2018,"Cricket",0,NA
2018,"Football",1,"Tom Brady"
2018,"Golf",1,"Tiger Woods"
2018,"Hockey",0,NA
2018,"Soccer",2,"Cristiano Ronaldo, Lionel Messi"
2018,"Swimming",1,"Cesar Cielo"
2018,"Tennis",3,"Novak Djokovic, Rafael Nadal, Roger Federer"
2019,"Baseball",0,NA
2019,"Basketball",1,"Lebron James"
2019,"Chess",1,"Magnus Carlson"
2019,"Cricket",0,NA
2019,"Football",1,"Tom Brady"
2019,"Golf",1,"Tiger Woods"
2019,"Hockey",0,NA
2019,"Soccer",2,"Cristiano Ronaldo, Lionel Messi"
2019,"Swimming",1,"Cesar Cielo"
2019,"Tennis",3,"Novak Djokovic, Rafael Nadal, Roger Federer"
2020,"Baseball",0,NA
2020,"Basketball",1,"Lebron James"
2020,"Chess",1,"Magnus Carlson"
2020,"Cricket",0,NA
2020,"Football",1,"Tom Brady"
2020,"Golf",0,NA
2020,"Hockey",0,NA
2020,"Soccer",2,"Cristiano Ronaldo, Lionel Messi"
2020,"Swimming",1,"Cesar Cielo"
2020,"Tennis",3,"Novak Djokovic, Rafael Nadal, Roger Federer"
2021,"Baseball",0,NA
2021,"Basketball",1,"Lebron James"
2021,"Chess",1,"Magnus Carlson"
2021,"Cricket",0,NA
2021,"Football",1,"Tom Brady"
2021,"Golf",0,NA
2021,"Hockey",0,NA
2021,"Soccer",2,"Cristiano Ronaldo, Lionel Messi"
2021,"Swimming",2,"Cesar Cielo, David Popovici"
2021,"Tennis",3,"Novak Djokovic, Rafael Nadal, Roger Federer"
2022,"Baseball",0,NA
2022,"Basketball",1,"Lebron James"
2022,"Chess",1,"Magnus Carlson"
2022,"Cricket",0,NA
2022,"Football",1,"Tom Brady"
2022,"Golf",0,NA
2022,"Hockey",0,NA
2022,"Soccer",2,"Cristiano Ronaldo, Lionel Messi"
2022,"Swimming",2,"Cesar Cielo, David Popovici"
2022,"Tennis",3,"Novak Djokovic, Rafael Nadal, Roger Federer"
2023,"Baseball",0,NA
2023,"Basketball",1,"Lebron James"
2023,"Chess",1,"Magnus Carlson"
2023,"Cricket",0,NA
2023,"Football",1,"Tom Brady"
2023,"Golf",0,NA
2023,"Hockey",0,NA
2023,"Soccer",2,"Cristiano Ronaldo, Lionel Messi"
2023,"Swimming",2,"Cesar Cielo, David Popovici"
2023,"Tennis",2,"Novak Djokovic, Rafael Nadal"
