"Player","Year","Sport"
"Johnny Unitas",1955,"Football"
"Johnny Unitas",1956,"Football"
"Johnny Unitas",1957,"Football"
"Johnny Unitas",1958,"Football"
"Johnny Unitas",1959,"Football"
"Johnny Unitas",1960,"Football"
"Johnny Unitas",1961,"Football"
"Johnny Unitas",1962,"Football"
"Johnny Unitas",1963,"Football"
"Johnny Unitas",1964,"Football"
"Johnny Unitas",1965,"Football"
"Johnny Unitas",1966,"Football"
"Johnny Unitas",1967,"Football"
"Johnny Unitas",1968,"Football"
"Johnny Unitas",1969,"Football"
"Johnny Unitas",1970,"Football"
"Johnny Unitas",1971,"Football"
"Johnny Unitas",1972,"Football"
"Johnny Unitas",1973,"Football"
"Lawrence Taylor",1981,"Football"
"Lawrence Taylor",1982,"Football"
"Lawrence Taylor",1983,"Football"
"Lawrence Taylor",1984,"Football"
"Lawrence Taylor",1985,"Football"
"Lawrence Taylor",1986,"Football"
"Lawrence Taylor",1987,"Football"
"Lawrence Taylor",1988,"Football"
"Lawrence Taylor",1989,"Football"
"Lawrence Taylor",1990,"Football"
"Lawrence Taylor",1991,"Football"
"Lawrence Taylor",1992,"Football"
"Lawrence Taylor",1993,"Football"
"Otto Graham",1946,"Football"
"Otto Graham",1947,"Football"
"Otto Graham",1948,"Football"
"Otto Graham",1949,"Football"
"Otto Graham",1950,"Football"
"Otto Graham",1951,"Football"
"Otto Graham",1952,"Football"
"Otto Graham",1953,"Football"
"Otto Graham",1954,"Football"
"Otto Graham",1955,"Football"
"Tom Brady",2000,"Football"
"Tom Brady",2001,"Football"
"Tom Brady",2002,"Football"
"Tom Brady",2003,"Football"
"Tom Brady",2004,"Football"
"Tom Brady",2005,"Football"
"Tom Brady",2006,"Football"
"Tom Brady",2007,"Football"
"Tom Brady",2008,"Football"
"Tom Brady",2009,"Football"
"Tom Brady",2010,"Football"
"Tom Brady",2011,"Football"
"Tom Brady",2012,"Football"
"Tom Brady",2013,"Football"
"Tom Brady",2014,"Football"
"Tom Brady",2015,"Football"
"Tom Brady",2016,"Football"
"Tom Brady",2017,"Football"
"Tom Brady",2018,"Football"
"Tom Brady",2019,"Football"
"Tom Brady",2020,"Football"
"Tom Brady",2021,"Football"
"Tom Brady",2022,"Football"
"Tom Brady",2023,"Football"
"Brett Favre",1991,"Football"
"Brett Favre",1992,"Football"
"Brett Favre",1993,"Football"
"Brett Favre",1994,"Football"
"Brett Favre",1995,"Football"
"Brett Favre",1996,"Football"
"Brett Favre",1997,"Football"
"Brett Favre",1998,"Football"
"Brett Favre",1999,"Football"
"Brett Favre",2000,"Football"
"Brett Favre",2001,"Football"
"Brett Favre",2002,"Football"
"Brett Favre",2003,"Football"
"Brett Favre",2004,"Football"
"Brett Favre",2005,"Football"
"Brett Favre",2006,"Football"
"Brett Favre",2007,"Football"
"Brett Favre",2008,"Football"
"Brett Favre",2009,"Football"
"Brett Favre",2010,"Football"
"Peyton Manning",1998,"Football"
"Peyton Manning",1999,"Football"
"Peyton Manning",2000,"Football"
"Peyton Manning",2001,"Football"
"Peyton Manning",2002,"Football"
"Peyton Manning",2003,"Football"
"Peyton Manning",2004,"Football"
"Peyton Manning",2005,"Football"
"Peyton Manning",2006,"Football"
"Peyton Manning",2007,"Football"
"Peyton Manning",2008,"Football"
"Peyton Manning",2009,"Football"
"Peyton Manning",2010,"Football"
"Peyton Manning",2011,"Football"
"Peyton Manning",2012,"Football"
"Peyton Manning",2013,"Football"
"Peyton Manning",2014,"Football"
"Peyton Manning",2015,"Football"
"Gordie Howe",1946,"Hockey"
"Gordie Howe",1947,"Hockey"
"Gordie Howe",1948,"Hockey"
"Gordie Howe",1949,"Hockey"
"Gordie Howe",1950,"Hockey"
"Gordie Howe",1951,"Hockey"
"Gordie Howe",1952,"Hockey"
"Gordie Howe",1953,"Hockey"
"Gordie Howe",1954,"Hockey"
"Gordie Howe",1955,"Hockey"
"Gordie Howe",1956,"Hockey"
"Gordie Howe",1957,"Hockey"
"Gordie Howe",1958,"Hockey"
"Gordie Howe",1959,"Hockey"
"Gordie Howe",1960,"Hockey"
"Gordie Howe",1961,"Hockey"
"Gordie Howe",1962,"Hockey"
"Gordie Howe",1963,"Hockey"
"Gordie Howe",1964,"Hockey"
"Gordie Howe",1965,"Hockey"
"Gordie Howe",1966,"Hockey"
"Gordie Howe",1967,"Hockey"
"Gordie Howe",1968,"Hockey"
"Gordie Howe",1969,"Hockey"
"Gordie Howe",1970,"Hockey"
"Gordie Howe",1971,"Hockey"
"Gordie Howe",1973,"Hockey"
"Gordie Howe",1974,"Hockey"
"Gordie Howe",1975,"Hockey"
"Gordie Howe",1976,"Hockey"
"Gordie Howe",1977,"Hockey"
"Gordie Howe",1978,"Hockey"
"Gordie Howe",1979,"Hockey"
"Gordie Howe",1980,"Hockey"
"Maurice Richard",1945,"Hockey"
"Maurice Richard",1946,"Hockey"
"Maurice Richard",1947,"Hockey"
"Maurice Richard",1948,"Hockey"
"Maurice Richard",1949,"Hockey"
"Maurice Richard",1950,"Hockey"
"Maurice Richard",1951,"Hockey"
"Maurice Richard",1952,"Hockey"
"Maurice Richard",1953,"Hockey"
"Maurice Richard",1954,"Hockey"
"Maurice Richard",1955,"Hockey"
"Maurice Richard",1956,"Hockey"
"Maurice Richard",1957,"Hockey"
"Maurice Richard",1958,"Hockey"
"Maurice Richard",1959,"Hockey"
"Maurice Richard",1960,"Hockey"
"Wayne Gretzky",1978,"Hockey"
"Wayne Gretzky",1979,"Hockey"
"Wayne Gretzky",1980,"Hockey"
"Wayne Gretzky",1981,"Hockey"
"Wayne Gretzky",1982,"Hockey"
"Wayne Gretzky",1983,"Hockey"
"Wayne Gretzky",1984,"Hockey"
"Wayne Gretzky",1985,"Hockey"
"Wayne Gretzky",1986,"Hockey"
"Wayne Gretzky",1987,"Hockey"
"Wayne Gretzky",1988,"Hockey"
"Wayne Gretzky",1989,"Hockey"
"Wayne Gretzky",1990,"Hockey"
"Wayne Gretzky",1991,"Hockey"
"Wayne Gretzky",1992,"Hockey"
"Wayne Gretzky",1993,"Hockey"
"Wayne Gretzky",1994,"Hockey"
"Wayne Gretzky",1995,"Hockey"
"Wayne Gretzky",1996,"Hockey"
"Wayne Gretzky",1997,"Hockey"
"Wayne Gretzky",1998,"Hockey"
"Wayne Gretzky",1999,"Hockey"
"Mark Messier",1978,"Hockey"
"Mark Messier",1979,"Hockey"
"Mark Messier",1980,"Hockey"
"Mark Messier",1981,"Hockey"
"Mark Messier",1982,"Hockey"
"Mark Messier",1983,"Hockey"
"Mark Messier",1984,"Hockey"
"Mark Messier",1985,"Hockey"
"Mark Messier",1986,"Hockey"
"Mark Messier",1987,"Hockey"
"Mark Messier",1988,"Hockey"
"Mark Messier",1989,"Hockey"
"Mark Messier",1990,"Hockey"
"Mark Messier",1991,"Hockey"
"Mark Messier",1992,"Hockey"
"Mark Messier",1993,"Hockey"
"Mark Messier",1994,"Hockey"
"Mark Messier",1995,"Hockey"
"Mark Messier",1996,"Hockey"
"Mark Messier",1997,"Hockey"
"Mark Messier",1998,"Hockey"
"Mark Messier",1999,"Hockey"
"Mark Messier",2000,"Hockey"
"Mark Messier",2001,"Hockey"
"Mark Messier",2002,"Hockey"
"Mark Messier",2003,"Hockey"
"Mark Messier",2004,"Hockey"
"Jack Nicklaus",1962,"Golf"
"Jack Nicklaus",1963,"Golf"
"Jack Nicklaus",1964,"Golf"
"Jack Nicklaus",1965,"Golf"
"Jack Nicklaus",1966,"Golf"
"Jack Nicklaus",1967,"Golf"
"Jack Nicklaus",1968,"Golf"
"Jack Nicklaus",1969,"Golf"
"Jack Nicklaus",1970,"Golf"
"Jack Nicklaus",1971,"Golf"
"Jack Nicklaus",1972,"Golf"
"Jack Nicklaus",1973,"Golf"
"Jack Nicklaus",1974,"Golf"
"Jack Nicklaus",1975,"Golf"
"Jack Nicklaus",1976,"Golf"
"Jack Nicklaus",1977,"Golf"
"Jack Nicklaus",1978,"Golf"
"Jack Nicklaus",1979,"Golf"
"Jack Nicklaus",1980,"Golf"
"Jack Nicklaus",1981,"Golf"
"Jack Nicklaus",1982,"Golf"
"Jack Nicklaus",1983,"Golf"
"Jack Nicklaus",1984,"Golf"
"Jack Nicklaus",1985,"Golf"
"Jack Nicklaus",1986,"Golf"
"Byron Nelson",1945,"Golf"
"Sam Snead",1945,"Golf"
"Sam Snead",1946,"Golf"
"Sam Snead",1947,"Golf"
"Sam Snead",1948,"Golf"
"Sam Snead",1949,"Golf"
"Sam Snead",1950,"Golf"
"Sam Snead",1951,"Golf"
"Sam Snead",1952,"Golf"
"Sam Snead",1953,"Golf"
"Sam Snead",1954,"Golf"
"Tiger Woods",1997,"Golf"
"Tiger Woods",1998,"Golf"
"Tiger Woods",1999,"Golf"
"Tiger Woods",2000,"Golf"
"Tiger Woods",2001,"Golf"
"Tiger Woods",2002,"Golf"
"Tiger Woods",2003,"Golf"
"Tiger Woods",2004,"Golf"
"Tiger Woods",2005,"Golf"
"Tiger Woods",2006,"Golf"
"Tiger Woods",2007,"Golf"
"Tiger Woods",2008,"Golf"
"Tiger Woods",2009,"Golf"
"Tiger Woods",2010,"Golf"
"Tiger Woods",2011,"Golf"
"Tiger Woods",2012,"Golf"
"Tiger Woods",2013,"Golf"
"Tiger Woods",2014,"Golf"
"Tiger Woods",2015,"Golf"
"Tiger Woods",2016,"Golf"
"Tiger Woods",2017,"Golf"
"Tiger Woods",2018,"Golf"
"Tiger Woods",2019,"Golf"
"Bobby Fischer",1957,"Chess"
"Bobby Fischer",1958,"Chess"
"Bobby Fischer",1959,"Chess"
"Bobby Fischer",1960,"Chess"
"Bobby Fischer",1961,"Chess"
"Bobby Fischer",1962,"Chess"
"Bobby Fischer",1963,"Chess"
"Bobby Fischer",1964,"Chess"
"Bobby Fischer",1965,"Chess"
"Bobby Fischer",1966,"Chess"
"Bobby Fischer",1967,"Chess"
"Bobby Fischer",1968,"Chess"
"Bobby Fischer",1969,"Chess"
"Bobby Fischer",1970,"Chess"
"Bobby Fischer",1971,"Chess"
"Bobby Fischer",1972,"Chess"
"Bobby Fischer",1992,"Chess"
"Garry Kasparov",1978,"Chess"
"Garry Kasparov",1979,"Chess"
"Garry Kasparov",1980,"Chess"
"Garry Kasparov",1981,"Chess"
"Garry Kasparov",1982,"Chess"
"Garry Kasparov",1983,"Chess"
"Garry Kasparov",1984,"Chess"
"Garry Kasparov",1985,"Chess"
"Garry Kasparov",1986,"Chess"
"Garry Kasparov",1987,"Chess"
"Garry Kasparov",1988,"Chess"
"Garry Kasparov",1989,"Chess"
"Garry Kasparov",1990,"Chess"
"Garry Kasparov",1991,"Chess"
"Garry Kasparov",1992,"Chess"
"Garry Kasparov",1993,"Chess"
"Garry Kasparov",1994,"Chess"
"Garry Kasparov",1995,"Chess"
"Garry Kasparov",1996,"Chess"
"Garry Kasparov",1997,"Chess"
"Garry Kasparov",1998,"Chess"
"Garry Kasparov",1999,"Chess"
"Garry Kasparov",2000,"Chess"
"Garry Kasparov",2001,"Chess"
"Garry Kasparov",2002,"Chess"
"Garry Kasparov",2003,"Chess"
"Garry Kasparov",2004,"Chess"
"Garry Kasparov",2005,"Chess"
"Magnus Carlson",2004,"Chess"
"Magnus Carlson",2005,"Chess"
"Magnus Carlson",2006,"Chess"
"Magnus Carlson",2007,"Chess"
"Magnus Carlson",2008,"Chess"
"Magnus Carlson",2009,"Chess"
"Magnus Carlson",2010,"Chess"
"Magnus Carlson",2011,"Chess"
"Magnus Carlson",2012,"Chess"
"Magnus Carlson",2013,"Chess"
"Magnus Carlson",2014,"Chess"
"Magnus Carlson",2015,"Chess"
"Magnus Carlson",2016,"Chess"
"Magnus Carlson",2017,"Chess"
"Magnus Carlson",2018,"Chess"
"Magnus Carlson",2019,"Chess"
"Magnus Carlson",2020,"Chess"
"Magnus Carlson",2021,"Chess"
"Magnus Carlson",2022,"Chess"
"Magnus Carlson",2023,"Chess"
"Mikhail Botvinnik",1945,"Chess"
"Mikhail Botvinnik",1946,"Chess"
"Mikhail Botvinnik",1947,"Chess"
"Mikhail Botvinnik",1948,"Chess"
"Mikhail Botvinnik",1949,"Chess"
"Mikhail Botvinnik",1950,"Chess"
"Mikhail Botvinnik",1951,"Chess"
"Mikhail Botvinnik",1952,"Chess"
"Mikhail Botvinnik",1953,"Chess"
"Mikhail Botvinnik",1954,"Chess"
"Mikhail Botvinnik",1955,"Chess"
"Mikhail Botvinnik",1956,"Chess"
"Mikhail Botvinnik",1957,"Chess"
"Mikhail Botvinnik",1958,"Chess"
"Mikhail Botvinnik",1959,"Chess"
"Mikhail Botvinnik",1960,"Chess"
"Mikhail Botvinnik",1961,"Chess"
"Mikhail Botvinnik",1962,"Chess"
"Mikhail Botvinnik",1963,"Chess"
"Mikhail Botvinnik",1964,"Chess"
"Mikhail Botvinnik",1965,"Chess"
"Mikhail Botvinnik",1966,"Chess"
"Mikhail Botvinnik",1967,"Chess"
"Mikhail Botvinnik",1968,"Chess"
"Mikhail Botvinnik",1969,"Chess"
"Mikhail Botvinnik",1970,"Chess"
"Alain Gottvalles",1960,"Swimming"
"Alain Gottvalles",1961,"Swimming"
"Alain Gottvalles",1962,"Swimming"
"Alain Gottvalles",1963,"Swimming"
"Alain Gottvalles",1964,"Swimming"
"Alexander Popov",1990,"Swimming"
"Alexander Popov",1991,"Swimming"
"Alexander Popov",1992,"Swimming"
"Alexander Popov",1993,"Swimming"
"Alexander Popov",1994,"Swimming"
"Alexander Popov",1995,"Swimming"
"Alexander Popov",1996,"Swimming"
"Alexander Popov",1997,"Swimming"
"Alexander Popov",1998,"Swimming"
"Alexander Popov",1999,"Swimming"
"Alexander Popov",2000,"Swimming"
"Alexander Popov",2001,"Swimming"
"Alexander Popov",2002,"Swimming"
"Alexander Popov",2003,"Swimming"
"Alexander Popov",2004,"Swimming"
"Alexander Popov",2005,"Swimming"
"Cesar Cielo",2004,"Swimming"
"Cesar Cielo",2005,"Swimming"
"Cesar Cielo",2006,"Swimming"
"Cesar Cielo",2007,"Swimming"
"Cesar Cielo",2008,"Swimming"
"Cesar Cielo",2009,"Swimming"
"Cesar Cielo",2010,"Swimming"
"Cesar Cielo",2011,"Swimming"
"Cesar Cielo",2012,"Swimming"
"Cesar Cielo",2013,"Swimming"
"Cesar Cielo",2014,"Swimming"
"Cesar Cielo",2015,"Swimming"
"Cesar Cielo",2016,"Swimming"
"Cesar Cielo",2017,"Swimming"
"Cesar Cielo",2018,"Swimming"
"Cesar Cielo",2019,"Swimming"
"Cesar Cielo",2020,"Swimming"
"Cesar Cielo",2021,"Swimming"
"Cesar Cielo",2022,"Swimming"
"Cesar Cielo",2023,"Swimming"
"David Popovici",2021,"Swimming"
"David Popovici",2022,"Swimming"
"David Popovici",2023,"Swimming"
"Eamon Sullivan",2002,"Swimming"
"Eamon Sullivan",2003,"Swimming"
"Eamon Sullivan",2004,"Swimming"
"Eamon Sullivan",2005,"Swimming"
"Eamon Sullivan",2006,"Swimming"
"Eamon Sullivan",2007,"Swimming"
"Eamon Sullivan",2008,"Swimming"
"Jim Montgomery",1973,"Swimming"
"Jim Montgomery",1974,"Swimming"
"Jim Montgomery",1975,"Swimming"
"Jim Montgomery",1976,"Swimming"
"John Devitt",1952,"Swimming"
"John Devitt",1953,"Swimming"
"John Devitt",1954,"Swimming"
"John Devitt",1955,"Swimming"
"John Devitt",1956,"Swimming"
"John Devitt",1957,"Swimming"
"John Devitt",1958,"Swimming"
"John Devitt",1959,"Swimming"
"John Devitt",1960,"Swimming"
"Jon Henricks",1952,"Swimming"
"Jon Henricks",1953,"Swimming"
"Jon Henricks",1954,"Swimming"
"Jon Henricks",1955,"Swimming"
"Jon Henricks",1956,"Swimming"
"Jon Henricks",1957,"Swimming"
"Jon Henricks",1958,"Swimming"
"Jon Henricks",1959,"Swimming"
"Jon Henricks",1960,"Swimming"
"Jonty Skinner",1973,"Swimming"
"Jonty Skinner",1974,"Swimming"
"Jonty Skinner",1975,"Swimming"
"Jonty Skinner",1976,"Swimming"
"Kenneth Walsh",1965,"Swimming"
"Kenneth Walsh",1966,"Swimming"
"Kenneth Walsh",1967,"Swimming"
"Kenneth Walsh",1968,"Swimming"
"Manuel Dos Santos",1955,"Swimming"
"Manuel Dos Santos",1956,"Swimming"
"Manuel Dos Santos",1957,"Swimming"
"Manuel Dos Santos",1958,"Swimming"
"Manuel Dos Santos",1959,"Swimming"
"Manuel Dos Santos",1960,"Swimming"
"Manuel Dos Santos",1961,"Swimming"
"Manuel Dos Santos",1962,"Swimming"
"Manuel Dos Santos",1963,"Swimming"
"Manuel Dos Santos",1964,"Swimming"
"Manuel Dos Santos",1965,"Swimming"
"Manuel Dos Santos",1966,"Swimming"
"Manuel Dos Santos",1967,"Swimming"
"Manuel Dos Santos",1968,"Swimming"
"Manuel Dos Santos",1969,"Swimming"
"Mark Spitz",1965,"Swimming"
"Mark Spitz",1966,"Swimming"
"Mark Spitz",1967,"Swimming"
"Mark Spitz",1968,"Swimming"
"Mark Spitz",1969,"Swimming"
"Mark Spitz",1970,"Swimming"
"Mark Spitz",1971,"Swimming"
"Mark Spitz",1972,"Swimming"
"Matt Biondi",1984,"Swimming"
"Matt Biondi",1985,"Swimming"
"Matt Biondi",1986,"Swimming"
"Matt Biondi",1987,"Swimming"
"Matt Biondi",1988,"Swimming"
"Matt Biondi",1989,"Swimming"
"Matt Biondi",1990,"Swimming"
"Matt Biondi",1991,"Swimming"
"Matt Biondi",1992,"Swimming"
"Pieter Van Den Hoogenband",1993,"Swimming"
"Pieter Van Den Hoogenband",1994,"Swimming"
"Pieter Van Den Hoogenband",1995,"Swimming"
"Pieter Van Den Hoogenband",1996,"Swimming"
"Pieter Van Den Hoogenband",1997,"Swimming"
"Pieter Van Den Hoogenband",1998,"Swimming"
"Pieter Van Den Hoogenband",1999,"Swimming"
"Pieter Van Den Hoogenband",2000,"Swimming"
"Pieter Van Den Hoogenband",2001,"Swimming"
"Pieter Van Den Hoogenband",2002,"Swimming"
"Pieter Van Den Hoogenband",2003,"Swimming"
"Pieter Van Den Hoogenband",2004,"Swimming"
"Pieter Van Den Hoogenband",2005,"Swimming"
"Pieter Van Den Hoogenband",2006,"Swimming"
"Pieter Van Den Hoogenband",2007,"Swimming"
"Pieter Van Den Hoogenband",2008,"Swimming"
"Rowdy Gaines",1978,"Swimming"
"Rowdy Gaines",1979,"Swimming"
"Rowdy Gaines",1980,"Swimming"
"Rowdy Gaines",1981,"Swimming"
"Rowdy Gaines",1982,"Swimming"
"Rowdy Gaines",1983,"Swimming"
"Rowdy Gaines",1984,"Swimming"
"Michael Phelps",2000,"Swimming"
"Michael Phelps",2001,"Swimming"
"Michael Phelps",2002,"Swimming"
"Michael Phelps",2003,"Swimming"
"Michael Phelps",2004,"Swimming"
"Michael Phelps",2005,"Swimming"
"Michael Phelps",2006,"Swimming"
"Michael Phelps",2007,"Swimming"
"Michael Phelps",2008,"Swimming"
"Michael Phelps",2009,"Swimming"
"Michael Phelps",2010,"Swimming"
"Michael Phelps",2011,"Swimming"
"Michael Phelps",2012,"Swimming"
"Michael Phelps",2013,"Swimming"
"Michael Phelps",2014,"Swimming"
"Michael Phelps",2015,"Swimming"
"Michael Phelps",2016,"Swimming"
